Category|Type|Class
Groceries|Baking|Baking Powder
Groceries|Baking|Baking Soda
Groceries|Baking|Flour
Groceries|Baking|Yeast
Groceries|Baking|Vinegar
Groceries|Beverages|Coffee
Groceries|Beverages|Tea
Groceries|Beverages|Juice
Groceries|Beverages|Soda
Groceries|Beverages|Water
Groceries|Beverages|Beer
Groceries|Beverages|Wine
Groceries|Beverages|Spirits
Groceries|Beverages|Energy Drinks
Groceries|Beverages|Sports Drinks
Groceries|Beverages|Coffee Creamer
Groceries|Beverages|Coconut Milk
Groceries|Beverages|Coconut Water
Groceries|Bread|Bread
Groceries|Bread|Bread Rolls
Groceries|Bread|Sandwich Bread
Groceries|Bread|Hamburger Buns
Groceries|Bread|Hot Dog Buns
Groceries|Bread|Pita Bread
Groceries|Bread|Naan
Groceries|Bread|Flatbread
Groceries|Bread|English Muffins
Groceries|Bread|Pretzels
Groceries|Bread|Tortillas
Groceries|Bread|Wraps
Groceries|Candy|Candies
Groceries|Candy|Gummies
Groceries|Candy|Licorice
Groceries|Cereals|Cereal
Groceries|Cereals|Cereal Bars
Groceries|Cereals|Granola
Groceries|Cereals|Muesli
Groceries|Cereals|Protein Bars
Groceries|Cereals|Pancake Mix
Groceries|Condiments|Ketchup
Groceries|Condiments|Mustard
Groceries|Condiments|Mayonnaise
Groceries|Condiments|Soy Sauce
Groceries|Condiments|Hot Sauce
Groceries|Condiments|BBQ Sauce
Groceries|Condiments|Horseradish
Groceries|Condiments|Worcestershire Sauce
Groceries|Condiments|Fish Sauce
Groceries|Condiments|Oyster Sauce
Groceries|Condiments|Syrup
Groceries|Condiments|Honey
Groceries|Condiments|Peanut Butter
Groceries|Condiments|Jelly
Groceries|Condiments|Jams
Groceries|Condiments|Preserves
Groceries|Condiments|Marmalade
Groceries|Condiments|Bacon Bits
Groceries|Condiments|Pickles
Groceries|Condiments|Olives
Groceries|Condiments|Capers
Groceries|Condiments|Salad Dressings
Groceries|Condiments|Balsamic Vinegar
Groceries|Condiments|Maple Syrup
Groceries|Condiments|Agave Nectar
Groceries|Cooking Oil|Olive Oil
Groceries|Cooking Oil|Vegetable Oil
Groceries|Cooking Oil|Peanut Oil
Groceries|Dairy & Eggs|Butter
Groceries|Dairy & Eggs|Milk
Groceries|Dairy & Eggs|Cheese
Groceries|Dairy & Eggs|Eggs
Groceries|Dairy & Eggs|Yogurt
Groceries|Dairy & Eggs|Cream
Groceries|Dairy & Eggs|Almond Milk
Groceries|Dairy & Eggs|Soy Milk
Groceries|Dairy & Eggs|Oat Milk
Groceries|Desserts|Gelatin
Groceries|Desserts|Pudding Mix
Groceries|Desserts|Cake Mix
Groceries|Desserts|Frosting
Groceries|Desserts|Sprinkles
Groceries|Desserts|Marshmallows
Groceries|Desserts|Chocolate
Groceries|Desserts|Cookies
Groceries|Desserts|Ice Cream
Groceries|Dry & Canned Goods|Canned Beans
Groceries|Dry & Canned Goods|Canned Tomatoes
Groceries|Dry & Canned Goods|Canned Corn
Groceries|Dry & Canned Goods|Canned Peas
Groceries|Dry & Canned Goods|Canned Fruit
Groceries|Dry & Canned Goods|Dried Beans
Groceries|Dry & Canned Goods|Tofu
Groceries|Dry & Canned Goods|Hummus
Groceries|Dry & Canned Goods|Salsa
Groceries|Dry & Canned Goods|Guacamole
Groceries|Dry & Canned Goods|Pesto
Groceries|Dry & Canned Goods|Tahini
Groceries|Dry & Canned Goods|Gravy Mix
Groceries|Dry & Canned Goods|Stuffing Mix
Groceries|Frozen Goods|Frozen Vegetables
Groceries|Frozen Goods|Frozen Fruits
Groceries|Frozen Goods|Frozen Pizza
Groceries|Frozen Goods|Frozen Dinners
Groceries|Fruit|Apples
Groceries|Fruit|Bananas
Groceries|Fruit|Oranges
Groceries|Fruit|Strawberries
Groceries|Fruit|Grapes
Groceries|Fruit|Lemons
Groceries|Fruit|Limes
Groceries|Meat & Poultry|Dried Meat
Groceries|Meat & Poultry|Cured Meats
Groceries|Meat & Poultry|Prosciutto
Groceries|Meat & Poultry|Salami
Groceries|Meat & Poultry|Pepperoni
Groceries|Meat & Poultry|Chorizo
Groceries|Meat & Poultry|Chicken
Groceries|Meat & Poultry|Beef
Groceries|Meat & Poultry|Pork
Groceries|Meat & Poultry|Turkey
Groceries|Meat & Poultry|Bacon
Groceries|Meat & Poultry|Sausage
Groceries|Meat & Poultry|Hot Dogs
Groceries|Pasta & Grains|Pasta
Groceries|Pasta & Grains|Rice
Groceries|Pasta & Grains|Oats
Groceries|Pasta & Grains|Quinoa
Groceries|Pasta & Grains|Couscous
Groceries|Pasta & Grains|Bulgur
Groceries|Pasta & Grains|Lentils
Groceries|Pasta & Grains|Chickpeas
Groceries|Pastries|Pop Tarts
Groceries|Pastries|Bagels
Groceries|Pastries|Muffins
Groceries|Pastries|Donuts
Groceries|Pastries|Pastries
Groceries|Pastries|Croissants
Groceries|Pastries|Danish
Groceries|Pastries|Scones
Groceries|Seafood|Anchovies
Groceries|Seafood|Sardines
Groceries|Seafood|Mackerel
Groceries|Seafood|Shrimp
Groceries|Seafood|Crab Meat
Groceries|Seafood|Lobster Tail
Groceries|Seafood|Scallops
Groceries|Seafood|Mussels
Groceries|Seafood|Clams
Groceries|Seafood|Octopus
Groceries|Seafood|Squid
Groceries|Seafood|Cuttlefish
Groceries|Seafood|Roe
Groceries|Seafood|Caviar
Groceries|Seafood|Smoked Salmon
Groceries|Seafood|Tuna
Groceries|Seafood|Salmon
Groceries|Seasoning|Sugar
Groceries|Seasoning|Salt
Groceries|Seasoning|Pepper
Groceries|Seasoning|Basil
Groceries|Seasoning|Oregano
Groceries|Seasoning|Thyme
Groceries|Seasoning|Rosemary
Groceries|Seasoning|Fresh Basil
Groceries|Seasoning|Parsley
Groceries|Seasoning|Cilantro
Groceries|Snacks|Chips
Groceries|Snacks|Popcorn
Groceries|Snacks|Nuts
Groceries|Snacks|Dried Fruits
Groceries|Snacks|Snacks
Groceries|Snacks|Crackers
Groceries|Snacks|Breakfast Bars
Groceries|Snacks|Tortilla Chips
Groceries|Snacks|Crackers
Groceries|Snacks|Rice Cakes
Groceries|Snacks|Popcorn Kernels
Groceries|Snacks|Microwave Popcorn
Groceries|Snacks|Trail Mix
Groceries|Snacks|Jerky
Groceries|Soups|Soups
Groceries|Soups|Broth
Groceries|Soups|Bouillon Cubes
Groceries|Soups|Instant Noodles
Groceries|Soups|Ramen
Groceries|Soups|Miso Paste
Groceries|Soups|Bouillon Powder
Groceries|Vegetables|Spinach
Groceries|Vegetables|Kale
Groceries|Vegetables|Broccoli
